id,datetime,tweets,edited,sentiment_intensity,sentiment,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
1344408246942097418,2020-12-30 22:21:18+00:00,@MoICTKenya @konzatech @SDY_Ke @MediaCouncilK @Kenyayearbook @kenyafilmcomm @InfoKfcb @ICTAuthorityKE @CA_Kenya @Posta_Kenya @YouthFund_Ke @KYEOP_Kenya @AjiraDigital When will you give cycle 4 and 5 there November and December  stipends. This youths really suffers alot(KYEOP) students,moictkenya konzatech sdy_ke mediacouncilk kenyayearbook kenyafilmcomm infokfcb ictauthorityke ca_kenya posta_kenya youthfund_ke kyeop_kenya ajiradigital give cycle november december stipend youths really suffers alot kyeop student,-0.5256,Negative,1,1,0,1,1,0,1,0
1344360892184588302,2020-12-30 19:13:08+00:00,"@konzatech Well, thank you and to you too, a prosperous and fulfilling 2021.",konzatech well thank prosperous fulfilling,0.7717,Positive,0,1,0,0,1,0,0,0
1343105499554852865,2020-12-27 08:04:39+00:00,"@shecyclesnbi @konzatech @KonzaDirector Konza would have taken off faster as a Gambling City or Burial Site.

https://t.co/CppBQrjHIy",shecyclesnbi konzatech konzadirector konza take faster gambling city burial site,0.0,Neutral,1,0,0,1,0,1,0,0
1343104048992460800,2020-12-27 07:58:53+00:00,"@dnahinga The other day I saw a shot of @konzatech and loudly asked a friend why there are no trees planted awaiting occupants?...

""To make them more palatable to domestic and international audiences, the developments are usually marketed as “smart” or “eco-friendly”.""

@KonzaDirector",dnahinga day saw shot konzatech loudly ask friend tree plant await occupant make palatable domestic international audience development usually market smart konzadirector,0.836,Positive,2,3,1,1,2,1,2,3
1342887292613046273,2020-12-26 17:37:34+00:00,"@DenisGathanju @HistoryKE @Environment_Ke @PSCharlesHinga @ConstantCap @chriskost @julietritta @MugureNjendu @EstherPassaris @JamesMacharia_ @Lesuuda @NMS_Kenya @HousingUrbanKE @Ke_NaMATA @TransportKE @Arch_KE @TCPAK4 @ITDPAfrica @konzatech ask those planners when they last produced any COHERENT INTEGRATED MASTER PLAN for nairobi or for any county

also ask them which profession is the majority in devt control offices of all counties where developers pour bribes 24/7",denisgathanju historyke environment_ke pscharleshinga constantcap chriskost julietritta mugurenjendu estherpassaris jamesmacharia_ lesuuda nms_kenya housingurbanke ke_namata transportke arch_ke tcpak4 itdpafrica konzatech ask planner last produce coherent integrated master plan nairobi county also ask profession majority devt control office county developer pour bribe,-0.2023,Negative,0,2,0,0,0,0,0,0
1342884085790879744,2020-12-26 17:24:50+00:00,@MoICTKenya @KYEOP_Kenya @konzatech @SDY_Ke @MediaCouncilK @Kenyayearbook @kenyafilmcomm @InfoKfcb @ICTAuthorityKE @CA_Kenya @Posta_Kenya @YouthFund_Ke @AjiraDigital When are paying cycle 4.....tunaumia aky...,moictkenya kyeop_kenya konzatech sdy_ke mediacouncilk kenyayearbook kenyafilmcomm infokfcb ictauthorityke ca_kenya posta_kenya youthfund_ke ajiradigital pay cycle tunaumia aky,-0.1027,Negative,0,1,0,0,1,0,0,1
1342872387621060610,2020-12-26 16:38:21+00:00,"@DehMao @HistoryKE @Environment_Ke @PSCharlesHinga @ConstantCap @chriskost @julietritta @MugureNjendu @EstherPassaris @JamesMacharia_ @Lesuuda @NMS_Kenya @HousingUrbanKE @Ke_NaMATA @TransportKE @Arch_KE @TCPAK4 @ITDPAfrica @konzatech Urban planners are not to blame - corruption is to blame. In Kenya we have a price for everything; and everyone, it seems, can be bought for the right amount. If you look at the 1973 Nairobi Masterplan, which was given for free to Kuala Lumpur and Seoul, you will see why.",dehmao historyke environment_ke pscharleshinga constantcap chriskost julietritta mugurenjendu estherpassaris jamesmacharia_ lesuuda nms_kenya housingurbanke ke_namata transportke arch_ke tcpak4 itdpafrica konzatech urban planner blame corruption blame kenya price everything everyone seem buy right amount look nairobi masterplan give free kuala lumpur seoul see,-0.128,Negative,2,0,2,0,0,0,0,0
1342846114588975110,2020-12-26 14:53:57+00:00,"@mainagatongi @MburuShaquille @HistoryKE @Environment_Ke @PSCharlesHinga @ConstantCap @chriskost @julietritta @MugureNjendu @EstherPassaris @JamesMacharia_ @Lesuuda @NMS_Kenya @HousingUrbanKE @Ke_NaMATA @TransportKE @Arch_KE @TCPAK4 @ITDPAfrica @konzatech @bonifacemwangi @aomenya @hoseaomole @governorkibwana my fren, do you know how much CONSTITUTIONAL POWER planners have in the CIDP ???

they LITERALLY have the POWER to dictate how EVERYTHING runs in this economy

stop these incessant lame excuses please

show more LOYALTY to your COUNTRY than you show to FOREIGN sponsors https://t.co/uXcdqUYuNx",mainagatongi mburushaquille historyke environment_ke pscharleshinga constantcap chriskost julietritta mugurenjendu estherpassaris jamesmacharia_ lesuuda nms_kenya housingurbanke ke_namata transportke arch_ke tcpak4 itdpafrica konzatech bonifacemwangi aomenya hoseaomole governorkibwana fren know much constitutional power planner cidp literally power dictate everything run economy stop incessant lame excuse please show loyalty country show foreign sponsor,0.2732,Positive,0,0,0,0,0,0,0,3
1342840624630935556,2020-12-26 14:32:08+00:00,"@DehMao @MburuShaquille @HistoryKE @Environment_Ke @PSCharlesHinga @ConstantCap @chriskost @julietritta @MugureNjendu @EstherPassaris @JamesMacharia_ @Lesuuda @NMS_Kenya @HousingUrbanKE @Ke_NaMATA @TransportKE @Arch_KE @TCPAK4 @ITDPAfrica @konzatech @bonifacemwangi @aomenya @hoseaomole @governorkibwana My point exactly. Planning in its current state CANNOT ensure grab-proof places. We just need to overhaul the entire planning system and process if we are ever to progress to community owned and protected places. So stop berating planners, but focus on the entire ecosystem.",dehmao mburushaquille historyke environment_ke pscharleshinga constantcap chriskost julietritta mugurenjendu estherpassaris jamesmacharia_ lesuuda nms_kenya housingurbanke ke_namata transportke arch_ke tcpak4 itdpafrica konzatech bonifacemwangi aomenya hoseaomole governorkibwana point exactly plan current state ensure place need overhaul entire planning system process ever progress community protected place stop berating planner focus entire ecosystem,0.7269,Positive,0,3,0,0,1,0,0,1
1342833217146073088,2020-12-26 14:02:42+00:00,"@mainagatongi @MburuShaquille @HistoryKE @Environment_Ke @PSCharlesHinga @ConstantCap @chriskost @julietritta @MugureNjendu @EstherPassaris @JamesMacharia_ @Lesuuda @NMS_Kenya @HousingUrbanKE @Ke_NaMATA @TransportKE @Arch_KE @TCPAK4 @ITDPAfrica @konzatech @bonifacemwangi @aomenya @hoseaomole @governorkibwana can planners do a grab proof public space with more community ownership than gikomba? 

if they can't then they should stop calling themselves professionals",mainagatongi mburushaquille historyke environment_ke pscharleshinga constantcap chriskost julietritta mugurenjendu estherpassaris jamesmacharia_ lesuuda nms_kenya housingurbanke ke_namata transportke arch_ke tcpak4 itdpafrica konzatech bonifacemwangi aomenya hoseaomole governorkibwana planners grab proof public space community ownership gikomba n't stop call professional,0.2235,Positive,1,1,0,0,0,0,0,1
