id,datetime,tweets
947344401348616192,2017-12-31 05:51:20+00:00,"Creating attractive, self-sufficient, globally connected cities is the critical challenge for Kenya's governors and other African regional leaders.

Strong public participation if the key enabler. 

Join us.

@konzatech @kot @dailynation @KenyaGovernors @Tatu_City #wef @UKenyatta https://t.co/I6gMJpdWXJ"
947028679732932608,2017-12-30 08:56:46+00:00,"@governorkibwana @konzatech Hi Governor.
I was shocked this morning by some Taita Taveta  leaders who are claiming that Mtito adei is In their county?How soon are you going to solve this boundary issue?"
946066329714425857,2017-12-27 17:12:44+00:00,@wef Watch this space.. # Nairobi is coming.@MikeSonko  @IgathePolycarp @konzatech #TembeaKenya
946036855446953984,2017-12-27 15:15:37+00:00,Any sufficiently advanced technology is equivalent to magic.Join @NairobiIW to witness  real innovation and technology in this hub.@soniyakarki1234 @WRVS @mayeedwin1 @Tech_Sharer @konzatech @accelevateleads @ChiefSamwel @Microsoftea @mlbtchallenge https://t.co/fGic48cXTF
945712818619342848,2017-12-26 17:48:01+00:00,@NairobiIW @Barclays_Kenya @KeEquityBank @KCBGroup @IsraelinKenya @Jambopay @uber_kenya @intel @SafaricomLtd @konzatech Please resend the application link.thankyou
944417701086285824,2017-12-23 04:01:41+00:00,"@MichaelKimatu @Lemmy35278981 @governorkibwana @SenMutula @konzatech So what am I saying..your gov should concentrate in building Makueni, perharps get the county the first city/town because as we chat Wote is a market just smaller than Masii or Mwala towns in Mks. Hii ako kando, just hoodwinking you guys"
944417278388563968,2017-12-23 04:00:00+00:00,"@MichaelKimatu @Lemmy35278981 @governorkibwana @SenMutula @konzatech @konzatech is not in Makueni, ur county is a buffer zone just like Kajiado and MKS- meaning it will facilitate the city in housing etc. Given that its a National govt project, you gov has no say in planning or financing. It will not remit taxes to Makueni"
943922007468597248,2017-12-21 19:11:58+00:00,"@Murchrs @Lemmy35278981 @governorkibwana @SenMutula @konzatech am from Makueni county, this is a matter affecting it . I don't know your interest but this discussion I feel I should be part and parcel of it."
943921210647293953,2017-12-21 19:08:48+00:00,"@Murchrs @Lemmy35278981 @governorkibwana @SenMutula @konzatech ha ha such an irony ! If you are a grownup where are you engaging ""child""?"
943477946018299908,2017-12-20 13:47:25+00:00,@tonymugodev @konzatech @tanuijohn Interesting!
943473543534272512,2017-12-20 13:29:56+00:00,@KathurimaG @konzatech @tanuijohn Looks like they have started the 1st building since 2007
943467815964762112,2017-12-20 13:07:10+00:00,@konzatech @tonymugodev @tanuijohn Does is still exist?
943207122199654400,2017-12-19 19:51:16+00:00,patiently waiting to see and experience all of this @David_Indeje @DevBringsDev @konzatech https://t.co/LHyKCT28ng
943110584823963648,2017-12-19 13:27:40+00:00,Warmest Wishes For A Wonderful Holiday from @konzatech @tanuijohn https://t.co/CEx10yqT6w
941961663410032640,2017-12-16 09:22:16+00:00,"One of the African heroes in Science, Technology and Innovation has rested. It's indeed sad to hear that  Prof. Calestous Juma is no more, you inspired us, RIP @calestous, your light indeed shone across the globe. The seeds you planted will make Kenya and Africa great @konzatech"
941534353691160576,2017-12-15 05:04:17+00:00,Longing to see @konzatech #KonzaCity take off! Its due and will mean a lot in social economic development in that region
940727319920041984,2017-12-12 23:37:25+00:00,@MichaelKimatu @Lemmy35278981 @governorkibwana @SenMutula @konzatech Learn to spell and read map b4 taking up grown up discussions.
940470182262296576,2017-12-12 06:35:39+00:00,@Murchrs @Lemmy35278981 @governorkibwana @SenMutula @konzatech biggest part of the city is in makueni both mechanise &amp; kajiando have small section on their side
940255587429994496,2017-12-11 16:22:55+00:00,"@SenMutula @Nickson_Muli @Lemmy35278981 @governorkibwana @konzatech No body earning top money will want to live there. The plans are out,Makueni needs to marry their plans with those of @konzatech This is a stand alone with everything that you hope to provide for apart from labor"
940254625965510657,2017-12-11 16:19:06+00:00,"@SenMutula @Nickson_Muli @Lemmy35278981 @governorkibwana @konzatech Key word - BUFFER ZONE. Meaning, dormitory towns/cities. I must say Mks is getting ready, I saw a very beautiful estate just off Junction. Junior I happen to work in one of the tech cities in this world and unless Makueni gets it right by installing the right infrastructure..Cont"
940251672110141440,2017-12-11 16:07:22+00:00,@Murchrs @Nickson_Muli @Lemmy35278981 @governorkibwana @konzatech You got in wrong boss. Please have a look at the draft bill. Makueni plays an intergral part in the buffer zone in terms of urban planning. Kajiado and Machakos too. Facts don’t lie
940221523687813125,2017-12-11 14:07:34+00:00,@Nickson_Muli @Lemmy35278981 @governorkibwana @SenMutula @konzatech It will be more beneficial if the Gov of Makueni actually concentrated in giving Makueni a true city Headquarters. Wote is still a market
940221299569385472,2017-12-11 14:06:40+00:00,"@Nickson_Muli @Lemmy35278981 @governorkibwana @SenMutula @konzatech You don't get it. @konzatech is a National Govt initiative, the location of the city will be in Mks. There's absolutely no reason for @governorkibwana to keep meeting the Konza Dev Authority officials since 1. He is not providing the funding. 2. The city is not part of Makueni."
940141100085448705,2017-12-11 08:47:59+00:00,"17,000 jobs will be created after first phase of Sh9.8bn Konza City is completed https://t.co/qWad0uSQEC"
940093247740821506,2017-12-11 05:37:51+00:00,"@Murchrs @Lemmy35278981 @governorkibwana @SenMutula @konzatech This discussion is a non starter. Konza belongs to kenya. I live at konza, at the border of makueni and machakos county and there is no development to talk about. Lets build the city first then we could discuss which county the air at konza belongs to"
939778404416655360,2017-12-10 08:46:46+00:00,"Less than 24 hours to go for the 2017 Nairobi Robotics &amp; STEM Bootcamp at @RiaraUniversity from 11, 13-16th December 9AM-4PM. 

Are you registered? https://t.co/SyqPo5dwda

@TinkerEducation #EMCAST @konzatech #robotics #STEM #STEMeducation #coding #Nairobi #bootcamp https://t.co/5I8dfDvfIB"
938781637936123904,2017-12-07 14:45:58+00:00,2017 Nairobi Robotics &amp; STEM Bootcamp: Hosted by @TinkerEducation @konzatech &amp; @RiaraUniversity https://t.co/Ds1Mi7ePle
938698900503793664,2017-12-07 09:17:12+00:00,"And now some few hours left to the   #MksuGraduation2017 which will be held at the main Campus grounds
@MworiaJ 
@AskKirubi 
@konzatech 
@MwalimChurchill 
@Minish_ke 
@CIIRITheSelekta 
@tanuijohn 
@peter_kabi 
@BobDesilver 
@KenyasFinnest 
Are all welcomed !!!!"
938457648386654208,2017-12-06 17:18:33+00:00,"#MskuGraduation2017
Welcome @MworiaJ @DrAlfredMutua @K24Tv @ntvkenya @citizentvkenya @KTNKenya @KenyasFinnest @MwalimChurchill @konzatech @Minish_ke 
@Machakos1stLady @MachakosTourism 
And ALL Others.."
938259971971731462,2017-12-06 04:13:04+00:00,@governorkibwana @SenMutula @konzatech No more division &amp; fighting in the kamba nation you three must work as one. Keep Raila  &amp; his Luos out of kamba politics. Maendeleo tu.
938148211541315589,2017-12-05 20:48:58+00:00,@governorkibwana @konzatech His Excellency my Governor. You're really doing a good job. I ll always help and support you in developing our county. Operation njenga County... I'm for it.
938074369095618560,2017-12-05 15:55:32+00:00,"@BensonKyaloMat2 @governorkibwana @SenMutula @konzatech By the way, every county receives money and raises revenue independently, not as ukambani. Kila mtu na kwao"
938074102207860737,2017-12-05 15:54:29+00:00,@BensonKyaloMat2 @governorkibwana @SenMutula @konzatech Konza city is in Machakos County....you can use google and see where the boundary is. https://t.co/vdwdHnGNv6 @governorkibwana should concentrate on building Makueni more so Wote the HQ
938070547128311809,2017-12-05 15:40:21+00:00,@governorkibwana @SenMutula @konzatech Get over it sir! Konza City is in Machakos
938005421989785601,2017-12-05 11:21:34+00:00,"@governorkibwana @konzatech Exactly, we should feel part and parcel of the project."
938002178173816832,2017-12-05 11:08:41+00:00,@governorkibwana @konzatech It requires a slight good will from the government and its done.
937943230049669120,2017-12-05 07:14:26+00:00,@governorkibwana @konzatech  with your leadership governor together with senator mutula we have hope that this city will happen....
937925525498187782,2017-12-05 06:04:05+00:00,@governorkibwana @SenMutula @konzatech Hon governor it's taking ages and nothing positive is been done.
937923829439004673,2017-12-05 05:57:21+00:00,@governorkibwana @SenMutula @konzatech Gov.001 needs to bench mark with Makueni
937922959158726656,2017-12-05 05:53:53+00:00,"@governorkibwana @SenMutula @konzatech YOU CANT MAKE IT ALONE PROFESSOR,GET,,,
@DrAlfredMutua 
@MikeSonko 
@joelenku 
PLEASE WORK AS A TEAM AND PUSH FOR THIS,THIS IS THE BEST TIME TO LOBBY."
937748770116263941,2017-12-04 18:21:43+00:00,"@governorkibwana @konzatech Sir, see that it picks up. Kenya needs Konza City"
937721289887936515,2017-12-04 16:32:32+00:00,@governorkibwana @konzatech Wonderful Bwana Gov. As one major stakeholder please hold the secretariat to account. In the next five years we would like the SavAnnah Silicon  to be alive to its promise.
937643090919161861,2017-12-04 11:21:48+00:00,@governorkibwana @konzatech konza should be your setmind governor do something
937617581279727616,2017-12-04 09:40:26+00:00,@governorkibwana @konzatech you are not resisting konza?
937615340074303489,2017-12-04 09:31:31+00:00,The development of Konza Technopolis is a vision we hold dear as a county. I have challenged the @konzatech to work with us every step of the way so our people can be part of this great initiative. https://t.co/6Vnd5zpxLG
937614120865722369,2017-12-04 09:26:41+00:00,@governorkibwana @konzatech But seems too slow. Any tangible progress or spefic timelines?
937612120694362112,2017-12-04 09:18:44+00:00,"@Konza tech to work closely with Makueni,Machakos,Kajiado and Kitui counties in the implementations of the project @tanuijohn.Public participation is key https://t.co/fhAxMheUnz"
937608955722858496,2017-12-04 09:06:09+00:00,@Konza tech meets @governorkibwana to discuss buffer zone plan.Konza is a planned city https://t.co/QHoO4OdIPj
936471389732683777,2017-12-01 05:45:52+00:00,@Chriskemboi94  It was really a nice event @konzatech
936311177206001664,2017-11-30 19:09:15+00:00,@konzatech Great to  hear from you  guys yuve got them ability to transform kenya through knowledge  based economy
936184194476027910,2017-11-30 10:44:40+00:00,"@machakosuni @konzatech I'm just curious, where is the Konza university and research institute?"
936174151739551744,2017-11-30 10:04:45+00:00,Thank you @MachakosUni! Its been an engaging session with lots of fun as well. Lets keep the conversation going #KonzaAtMachakosUniversity https://t.co/ZlOlLokOl1
936161022439772160,2017-11-30 09:12:35+00:00,@konzatech Through the county government of machakos it will help in development of infrastructure.
936159787456352256,2017-11-30 09:07:40+00:00,"Q. Are the investment options affordable to Kenyans? 
Q. How will you ensure uniformity in infrastructure dev't? 
#KonzaAtMachakosUniversity https://t.co/kGUJLq4gDe"
936158077379862528,2017-11-30 09:00:53+00:00,@konzatech Students will be given Internships and also attachments
936157807497408513,2017-11-30 08:59:48+00:00,"@konzatech All factors considered, there is a huge likelihood of a slum mushrooming, in the outskirts of the city, how can this be avoided?"
936157432174215168,2017-11-30 08:58:19+00:00,Q. What opportunities will be available for Machakos University coming from the establishment of @KonzaTech? https://t.co/Mst6Vc6Fq3
936157137465761792,2017-11-30 08:57:09+00:00,Attended the function @konzatech machakos university lecture. https://t.co/7xBm3ycFzL
936156762515832832,2017-11-30 08:55:39+00:00,Students will have the opportunity to further their studies at the Konza University &amp; Research Center. #KonzaAtMachakosUniversity @konzatech
936156450195427329,2017-11-30 08:54:25+00:00,#KonzaAtMachakosUniversity many economically viable projects have been stalled with change in regimes? How is Konza tech immune to politics?
936156437784313857,2017-11-30 08:54:22+00:00,@konzatech The partnership with NEMA  and other groups will help maintain a sustainable enviroment
936156093901955073,2017-11-30 08:53:00+00:00,@Nickson_Muli We are working with the UN Habitat to ensure the community within this area is engaged inline with the international building guidelines.
936155863596679168,2017-11-30 08:52:05+00:00,@konzatech On congestion..since there will be technology monopoly people will be working in smart city this reducing congestion
936155651755200512,2017-11-30 08:51:14+00:00,"Students are engaging the forum so fime. Thanks @konzatech  for coming to @machakosuni 

#KonzaAtMachakosUniversity https://t.co/gRg5m8MJyp"
936155463850147841,2017-11-30 08:50:30+00:00,@konzatech To market jobs..they will involve university students in research
936155144605130752,2017-11-30 08:49:14+00:00,"@machakosuni @tanuijohn @konzatech Wow, hope this would be real, I hope the board governing and controlling the project has terms and conditions to curb the corrupt"
936155077319864321,2017-11-30 08:48:58+00:00,@konzatech Partnerships with NEMA
936155036001996801,2017-11-30 08:48:48+00:00,"@tanuijohn ""The city's security will be managed using current technology e.g. Cameras, Biometrics.etc"" @konzatech #KonzaAtMachakosUniversity"
936154861267226625,2017-11-30 08:48:06+00:00,"@machakosuni @tanuijohn @konzatech Wow, hope this would be real, I hope the board governing and controlling the project has terms and conditions to curb the corrupt goons"
936154770141835264,2017-11-30 08:47:44+00:00,@konzatech how will the residents living around the 10 kilometer buffer zone benefit from the development of the technopolis?
936154674884956160,2017-11-30 08:47:22+00:00,"@tanuijohn ""Any job opportunities will be advertised in the media platforms."" @konzatech #KonzaAtMachakosUniversity"
936154635395633152,2017-11-30 08:47:12+00:00,@konzatech this is good for youth fresh from school with fresh minds ready to put down their knowledge rather than idling around
936154257472008192,2017-11-30 08:45:42+00:00,The Konza University and Research Center will attract students in the first phase of population search. #KonzaAtMachakosUniversity@konzatech
936153830416437248,2017-11-30 08:44:00+00:00,@konzatech Is there a way to control the population that will come konza city or is it open for everyone?is it limitless?
936153461271552006,2017-11-30 08:42:32+00:00,"Once completed, the Konza Techno city project will contribute 2% to the GDP I our economy. #KonzaAtMachakosUniversity @tanuijohn @konzatech"
936153436340531201,2017-11-30 08:42:26+00:00,"@konzatech @machakosuni There's a project I have, I believe all shall be well soon with your support"
936153324574953473,2017-11-30 08:42:00+00:00,@konzatech.. Thanks for the wonderful lecture John Tanui
936153309185966080,2017-11-30 08:41:56+00:00,"Q. What activities have you done to ensure Konza Technopolis also remains ENVIRONMENTALLY sustainable? 
#KonzaAtMachakosUniversity https://t.co/99ekv7Vr1Q"
936153010811625472,2017-11-30 08:40:45+00:00,"@konzatech @machakosuni I like the project, I wanna part of it soon...."
936152727985508352,2017-11-30 08:39:37+00:00,"1. How will @KonzaTech help to reduce congestion in Nairobi?
2. How do you market the jobs being created there? 
#KonzaAtMachakosUniversity https://t.co/Jb2p3ovvRg"
936152242960371712,2017-11-30 08:37:42+00:00,"Ready for the plenary session. 
First question from the audience, ""How sustainable is the Konza Technopolis project?"" https://t.co/e2rgE0VFsQ"
936151926147833856,2017-11-30 08:36:26+00:00,@konzatech  was well received at @machakosuni . The   #KonzaAtMachakosUniversity is happening now. https://t.co/HYBCXC2wR2
936151608483819521,2017-11-30 08:35:10+00:00,@konzatech @machakosuni Great talk by @johntanui
936151172464955392,2017-11-30 08:33:27+00:00,"@konzatech it has been so great.
#KonzaAtMachakosUniversity"
936150366881828864,2017-11-30 08:30:14+00:00,"@machakosuni @konzatech @tanuijohn That is true. I cannot wait to see the MoU between @machakosuni  and @konzatech signed.
To give our students an opportunity to serve Kenya"
936150011036995584,2017-11-30 08:28:50+00:00,@konzatech @tanuijohn We are willing to join in making the Konza dream come true. #KonzaAtMachakosUniversity
936149777326145537,2017-11-30 08:27:54+00:00,"""We cannot access the knowledge economy without the presence and support of the academia. Thank you @MachakosUni for welcoming us today and always engaging with @KonzaTech."" - Eng. John Tanui. #KonzaAtMachakosUniversity https://t.co/IE3NaEXeuj"
936149591916937221,2017-11-30 08:27:10+00:00,@konzatech @lastmwaura The Lecture was very inspiring ... #KonzaAtMachakosUniversity @tanuijohn
936148462827180032,2017-11-30 08:22:40+00:00,The students from @machakosuni are inspiring! #KonzaAtMachakosUniversity https://t.co/LnsAeQ91w4
936147832200761344,2017-11-30 08:20:10+00:00,"#KonzaAtMachakosUniversity 
@machakosuni@konzatech
#ThileTheVcWasAway
The students flocked Kilimambogo hall for a talk with @tanuijohn"
936147617142231042,2017-11-30 08:19:19+00:00,Internet connectivity infrastructure development is ongoing. @konzatech  #KonzaAtMachakosUniversity
936147162156716032,2017-11-30 08:17:30+00:00,"""The Konza Complex, part of Phase 1, is on track and actual work is already happening."" - @TanuiJohn. 
#KonzaAtMachakosUniversity https://t.co/TSC6T2CTBw"
936146691136225281,2017-11-30 08:15:38+00:00,"@konzatech Yes.helps in generating ideas,creativity,intelligence,solutions and a vision 2030"
936146122690781184,2017-11-30 08:13:23+00:00,@machakosuni @konzatech For how long are we to wait for this city??
936146015639531520,2017-11-30 08:12:57+00:00,"""We appreciate that the next phase of economic transformation in Kenya will not only be driven by innovation, but more importantly, the youth."" - @KonzaTech CEO John Tanui. #KonzaAtMachakosUniversity"
936145723325685762,2017-11-30 08:11:47+00:00,"@konzatech Yes Kenya needs a techno city..it will help in generating of ideas ,intelligence, solutions, and visions"
936145482904092672,2017-11-30 08:10:50+00:00,New cities have to be developed with the prospective population in mind - youthful; who are more innovative and entrepreneurial. It must also be sustainable in line with the prevailing UN backed agenda to build a sustainable and more inclusive world. #KonzaAtMachakosUniversity
936145148718829568,2017-11-30 08:09:30+00:00,"""Universities have a role to play in building an innovative culture and supporting  application of intellectual capital in wealth generation. Innovation will lead to new businesses as well as to the increased competitiveness of existing enterprises.""
#KonzaAtMachakosUniversity"
936144445107564544,2017-11-30 08:06:43+00:00,"Konza will be a sustainable world-class technology hub and a major economic driver for the nation. The question is, does Kenya need a  techno city? What is the role of innovation ecosystem in economic transformation? #KonzaAtMachakosUniversity"
936144301117050880,2017-11-30 08:06:08+00:00,#KonzaAtMachakosUniveristy we enjoying amazing lecture from KONZA Technopolis City CEO @Minish_ke @DanMuhoro @zequiels_G @DancareOsman @thebeast_254 @joan_wambugu @maritim_sophie @CIIRITheSelekta @WaroroBlackfyre @konzatech @tanuijohn @machakosuni
936143885629345794,2017-11-30 08:04:29+00:00,@machakosuni @konzatech @MachakosCtyNews @machakoscounty @HotelMacha_Uni @MachakosTourism @tanuijohn @MachakosINVEST Luving the atmosphere in the university wth CEO TANUI
936143385978703872,2017-11-30 08:02:30+00:00,Konza is called a Techno city because it if focuses on building a technology a based -City. #KonzaAtMachakosUniversity @konzatech
936143256349499393,2017-11-30 08:01:59+00:00,"The smart city @konzatech 
#KonzaAtMachakosUniversity https://t.co/9z8786FwQa"
936142971606626304,2017-11-30 08:00:51+00:00,@konzatech Doing it right at first place
