id,datetime,tweets
20796180095045633,2010-12-31 10:59:30+00:00,"Elephants and Waterfalls - Kanchanaburi: We headed to Kanchanaburi - after being in cities for so long, we were ... http://bit.ly/gwxgvX"
20436558339375104,2010-12-30 11:10:29+00:00,I'm at Action Waterfall (1 Olympian City) http://4sq.com/f9340Y
20270437296513024,2010-12-30 00:10:23+00:00,What TLC say baybeee???....dnt be chasin waterfalls ginaaaa!! **Martin Voice**
19883864499429376,2010-12-28 22:34:17+00:00,Heading to Niagara Falls tomorrow and then onto Toronto for New Years. Nothing better than casinos waterfalls and getting Wild in the city
19880712089903105,2010-12-28 22:21:45+00:00,byeeee city of waterfalls iligan....off 2 surigao city (:
19870339014074368,2010-12-28 21:40:32+00:00,Just got back from lunch. It's raining so hard there were ~10 waterfalls along I205 in Oregon City.
19799211897786369,2010-12-28 16:57:54+00:00,"Apparently, my hometown makes Auchterarder look like a city, according to @charliemcarthur...just went a nice adventure to find a waterfall"
19527374534086656,2010-12-27 22:57:43+00:00,"RT @ChristopherAver:""Our worst day w/ agile is better than our best day w/ waterfall."" City utility client in sprint 11 of 1st agile project"
19525462397034498,2010-12-27 22:50:07+00:00,"RT @christopheraver: ""Our worst day w/ #agile better than our best day w/ waterfall."" City utility client in sprint 11 of 1st agile project"
19523349130514433,2010-12-27 22:41:43+00:00,"""Our worst day w/ #agile is better than our best day w/ waterfall."" City utility client in sprint 11 of 1st agile project."
19441326089052160,2010-12-27 17:15:47+00:00,@cheskohaze same to u my nigga my bad I aint have no service at the waterfalls so I'm just now coming back into the city and getting service
19373725514207233,2010-12-27 12:47:10+00:00,Kanchanaburi - City of Gold + Waterfalls + Tiger Temple... Tempting! Damn it is hard to pick between India and Thailand! http://t.co/u7At2qL
18880417180418048,2010-12-26 04:06:56+00:00,"The Saturday City: Seattle – Nomadic Matt's Travel Site: It's peaceful with a waterfall, koi fish and turtles, r... http://bit.ly/ggg6Sl"
18813033987973120,2010-12-25 23:39:11+00:00,"Go to Malang city. . .
Beautiful waterfall. . .
It's Cuban Rondo. . .
Thankz god. . .
The day ,
happy day's . . .:-)"
18577094195810304,2010-12-25 08:01:39+00:00,Landscaping ponds salt lake city // Waterproof mortar for ponds uk ...: backyard ponds waterfall. garden ponds p... http://bit.ly/gy3Elk
18158282594066433,2010-12-24 04:17:26+00:00,So who's up 4 a boxing day cross ride? City -&gt; RNP -&gt; Waterfall -&gt; Lady Game Drive... and back?
17995049392410624,2010-12-23 17:28:48+00:00,"I'm very happy that the City of Abbotsford named a nearby waterfall after Devon Clifford, late drummer of #YouSayParty.  http://j.mp/g33FlV"
17978809949102080,2010-12-23 16:24:16+00:00,"@Gen22 beach? has 128 beaches here in my city, rivers and waterfalls."
17741976044576768,2010-12-23 00:43:11+00:00,"City of Abbotsford names waterfall Devon Falls after Devon Clifford, @YouSayParty 's drummer who died earlier this year http://to.ly/9b2N"
17643482348785664,2010-12-22 18:11:48+00:00,Kadambi Waterfalls: A few nice streaming images I found: Kadambi Waterfalls Image by wildxplorer Risk City Image... http://bit.ly/fv9WuM
17364745698942977,2010-12-21 23:44:12+00:00,Happy Solstice!  I spent part of it near a waterfall in my city; it was frozen and beautiful. May your solstice be full of magic!
17331935567159296,2010-12-21 21:33:50+00:00,"Listening to #OzricTentacles 'Waterfall Cities', a birthday present from my excellent sister, and one of their finest albums IMO."
16834327543283713,2010-12-20 12:36:31+00:00,Beautiful horses! A river! A waterfall! Forestry! Hw carming 4rm city life I live in. http://yfrog.com/h3vfoyj
16557736581926912,2010-12-19 18:17:26+00:00,"Kansas City, you don't need Jeffress. Leave him alone. After all...he smokes pot! He'd pull waterfalls out your waterfalls. CALL IT A DAY"
16435111805321216,2010-12-19 10:10:10+00:00,listening to Waterfall City by Ozric Tentacles on @Grooveshark:   #nowplaying  http://t.co/Ul5IRIu
16239997606699008,2010-12-18 21:14:51+00:00,North florida parks with waterfalls near lake city &gt;&gt; parks in oak ... http://bit.ly/ekjJb9
16172749609246720,2010-12-18 16:47:38+00:00,"When we enter the city of Barcelona, we are greeted by a flock of gigantic birds drinking water from a pool full of waterfalls and light."
15502660878737409,2010-12-16 20:24:57+00:00,Exploding into Night explores Toronto's inner city: By Cara Waterfall by Sandy Pool Sandy Pool compares her firs... http://bit.ly/hjzbld
15468041613606912,2010-12-16 18:07:23+00:00,"COLD? HEAT THE CITY UP 2NYT AT BAR CHARLOTTE! ER1 FREE TIL 11!
@VivaLaBuenaVida @vonboy26 @VShonda @w0rd0fm0uf @WaTeRfAlL_07 @whatsnextlex"
15441984592285696,2010-12-16 16:23:50+00:00,"@DietitianJanel I was there last summer and loved how walkable the city is, the vineyards and waterfalls along the Columbia are incredible!"
14935006417788930,2010-12-15 06:49:17+00:00,"in a sound studio with the incredible Ben Hyde, sweating waterfalls, recording and editing while the rest of the city rests it's woozy head"
14903888561840128,2010-12-15 04:45:38+00:00,@bkksmackdown Most of the good places are outside the city. Chat Trakan waterfall is worth a visit but it is a 100 km from the airport..
14453553502359552,2010-12-13 22:56:10+00:00,city lights ~ shimmering ~ behind ~ a waterfall ~ of cold air #gogyohka
14216271881052161,2010-12-13 07:13:18+00:00,@WaTeRfAlL_07 IM N DA CITY
14065762268348416,2010-12-12 21:15:13+00:00,"If u werent @thecitychurch this morning u missed justin bieber on stage. Also, I blame city kids for my waterfall of tears #WorldClassChurch"
14014279275520000,2010-12-12 17:50:39+00:00,DNT GO #CHASING #WATERFALLS... OR A #MUTHAFUKKA ALL #AROUND THA #CITY..
13756097483513857,2010-12-12 00:44:43+00:00,@hookedonhicks The city or  waterfalls they show both the waterfall is between both cities the Canadian side city unfortunately is prettier
13525986721140736,2010-12-11 09:30:21+00:00,"Appartment (@ Waterfall Garden, Pakuwon city) http://4sq.com/9ABcLv"
13268500944519168,2010-12-10 16:27:11+00:00,"@ShermHJr Yo, I had to hit up the software company to cop 2 more live wallpapers this morning, lol - City at Night and Jungle Waterfall ..."
13186677015052290,2010-12-10 11:02:03+00:00,1942 Waterfall Suite (Kansas City) - $200  http://tinyurl.com/2g6wbw8
13134451475222528,2010-12-10 07:34:31+00:00,"...i gotta ball what can u tell me? I'm chasing waterfalls disregard TLC, cuz im from the city of Kanye n GLC.."
12964766137974784,2010-12-09 20:20:15+00:00,"WE HEATN UP THE CITY! BAR CHARLOTTE 2NYT!  ER1 FREE TIL 11! GT LIST 7046614311
@VivaLaBuenaVida @vonboy26 @VShonda @w0rd0fm0uf @WaTeRfAlL_07"
12319857911537664,2010-12-08 01:37:37+00:00,"Australia footage coming soon! Everything from humpback whales and camels to city skylines and waterfalls!
http://bit.ly/proaerialvideo"
12303614877892608,2010-12-08 00:33:05+00:00,RT @nestarchi: A waterfall & river in the city http://post.ly/1IxB5
12094384048709632,2010-12-07 10:41:40+00:00,"Waterfall near Cork City is unaccessible. 

Well certainly by truck. 

We had to, yet again, abandon ship."
11824375217004545,2010-12-06 16:48:45+00:00,RT @Ecofriend_org Solar City Tower By RAFAA Turns Into An Urban Waterfall To Generate Energy - Eco.. http://bit.ly/9eNoyj
11534939149303808,2010-12-05 21:38:38+00:00,"Broken Letters, Nightmare Waterfall, Naked Hearts tonight at magic city wholesale"
11519597127671808,2010-12-05 20:37:40+00:00,"Thanks to everyone who came out to see Mike & Joe perform at 10-11 in alphabet city the other night! Remember, don't go chasing waterfalls."
11484956987494400,2010-12-05 18:20:01+00:00,@SRME_Ent is rockin @insomniaatl TONIGHT. Ladies Night!!! Wat other club in the city has a waterfall http://yfrog.com/2hd4f01j
11248751305822208,2010-12-05 02:41:25+00:00,"Come get cold with us on Sunday night! Naked Hearts, Broken Letters, and Nightmare Waterfall at Magic City Wholesale starting at 8 pm or so"
11151879257989120,2010-12-04 20:16:29+00:00,"nj buy Waterfalls, No Neighbors! (Corbin City/Tuckahoe, South NJ) $179900 4bd: Waterfront Colonial, Near Ocean C... http://bit.ly/fJ9IQd"
10734957223739392,2010-12-03 16:39:47+00:00,Waterfall still up at Saint John City Market: http://thirdspacegallery.ca/
10725525727215616,2010-12-03 16:02:19+00:00,Wow! the city of majestic waterfalls. http://t.co/yvPqoTW
10566925746700288,2010-12-03 05:32:06+00:00,The New York City Waterfalls by Olafur Eliasson http://goo.gl/SUwCM
9995440703414272,2010-12-01 15:41:13+00:00,Photo: Waterfall City by Sedeptra on Deviant Art. http://tumblr.com/xvhy2qj26
9964655019556864,2010-12-01 13:38:53+00:00,"Saturday night 6-7 pm, @cbehrens74 and the City of Waterfalls gang will be lighting Albion Falls in Christmas colours."
9593128096890880,2010-11-30 13:02:34+00:00,"""Waterfall""- a new piece of public art in the city market saint john. V. Cool"
9389733314564096,2010-11-29 23:34:21+00:00,"Dear Everyone, I'm moving to Waterfall City.  That is all."
9340339357753344,2010-11-29 20:18:05+00:00,@AllstarWeekend day off in Nash?! I miss it there so much.You should go see the waterfalls!its like a hour out of the city but its gorgeous!
9089002837647360,2010-11-29 03:39:21+00:00,back in Guatemala City. The Copán Ruins - and El Rubí waterfall - were insanely awesome.
8832036055810048,2010-11-28 10:38:16+00:00,"#Ranchi is known as the ""city of waterfall"" due to plenty of waterfalls.…http://bit.ly/9n9NvX"
8046413460021248,2010-11-26 06:36:29+00:00,"@mox_kashif ~to the city that falls, sorry waterfalls i mean. ;)"
7831233979486208,2010-11-25 16:21:26+00:00,"NYC: Brooklyn Bridge – New York City Waterfalls | New York News: New York City Waterfalls, a public art installa... http://bit.ly/gmmeQA"
7654636177588224,2010-11-25 04:39:42+00:00,"The amazing Montmorency Waterfalls outside Quebec City, Canada is our location of the day http://fb.me/IXnSOk6m"
7414655118999552,2010-11-24 12:46:06+00:00,visitpanama - Tavida Waterfalls In Panama 30 Meter Water Fall: From Panama City take a Panama-Penonome  bus in t... http://bit.ly/gRua3N
