id,datetime,tweets,edited,sentiment_intensity,sentiment,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
418168978029432832,2013-12-31 23:57:08+00:00,Lagos Countdown to 2014 carnival. #turnup @ Eko Atlantic http://t.co/cX5fAlJfPr,lagos countdown carnival turnup eko atlantic,0.0,Neutral,0,1,0,0,0,0,0,0
418162312462495744,2013-12-31 23:30:39+00:00,"The stage is set, there is only one place to be tonight the Bar Beach at Eko Atlantic #countdownwithSTAR #TLC http://t.co/dgpUl0gqVc""",stage set one place tonight bar beach eko atlantic countdownwithstar tlc,0.0,Neutral,0,0,0,0,1,0,0,0
418160431166136320,2013-12-31 23:23:10+00:00,I'm sure I'd have gotten my Bachelor's Degree and on my way to being married by time Eko Atlantic is close to being completed..,sure get bachelor degree way marry time eko atlantic close complete,0.3182,Positive,0,1,0,0,0,0,0,0
418155683113369600,2013-12-31 23:04:18+00:00,God bleSs Gov. Fashola of Lagos State... Indeed the man dey spend money for fire works.. Eko Atlantic things.. #LagosCountDown,god bless gov fashola lagos state indeed man dey spend money fire work eko atlantic thing lagoscountdown,0.3612,Positive,1,3,0,2,3,0,1,3
418147617869398016,2013-12-31 22:32:15+00:00,"Tillaman, orezzy, bez... Killing d show here at Eko Atlantic.. Lagos Count down #MadtFun",tillaman orezzy bez kill show eko atlantic lagos count madtfun,-0.6908,Negative,0,0,0,1,0,1,0,2
418142693660053504,2013-12-31 22:12:41+00:00,Attending the Lagos countdown at the Eko Atlantic.,attend lagos countdown eko atlantic,0.0,Neutral,0,1,0,0,0,0,0,0
418122005779873792,2013-12-31 20:50:29+00:00,@therealUchman @bobugzy . Eko Atlantic formerly Bar beach.,therealuchman bobugzy eko atlantic formerly bar beach,0.0,Neutral,0,0,0,0,1,0,0,0
418114505043116032,2013-12-31 20:20:40+00:00,kiddo baba! “@KIDDOMINANT: Lagos countdown show tonight.. eko Atlantic!! Alive!”,kiddo baba kiddominant lagos countdown show tonight eko atlantic alive,0.3818,Positive,0,1,0,0,0,0,0,1
418114108920434688,2013-12-31 20:19:06+00:00,Lagos countdown show tonight.. eko Atlantic!! Alive!,lagos countdown show tonight atlantic alive,0.3818,Positive,0,1,0,0,0,0,0,1
418055650967842817,2013-12-31 16:26:48+00:00,Governor Fashola is hosting the biggest party tonight at Eko Atlantic city bar beach Lagos.,governor fashola host big party tonight eko atlantic city bar beach lagos,0.4019,Positive,0,0,0,0,1,0,0,1
