id,datetime,tweets,edited,sentiment_intensity,sentiment,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
682152628223094784,2015-12-30 10:53:55+00:00,All buildings in Konza City will be required to incorporate the latest water management systems in their designs https://t.co/SO4qNaMxse,building konza city require incorporate late water management system design,0.0,Neutral,0,0,0,0,0,1,0,1
681830020634009601,2015-12-29 13:31:59+00:00,Find here the @konzatechnocity work plan: https://t.co/cHyJKQ0hGF https://t.co/r7UcvLsH9p,find konzatechnocity work plan,0.0,Neutral,0,1,0,0,0,0,0,0
681811474013097984,2015-12-29 12:18:17+00:00,@Alicemakochieng @TimKipchumba @JimnahMbaru @RavS82 @DiazChrisAfrica @KenyaAirways the GOK will provide public goods within the city,alicemakochieng timkipchumba jimnahmbaru ravs82 diazchrisafrica kenyaairways gok provide public good city,0.4404,Positive,0,2,0,0,1,0,1,1
681810040165167105,2015-12-29 12:12:35+00:00,@Bruhfication Provisions for light rail are in the plans in addition to other efficient public transport modes to reduce need for self drive,bruhfication provision light rail plan addition efficient public transport mode reduce need self drive,0.4215,Positive,1,3,0,0,0,0,0,0
681357066485796864,2015-12-28 06:12:38+00:00,@maukakevo construction of the Konza Complex and Police Station will complete in 2017 to kick start the city operations.,maukakevo construction konza complex police station complete kick start city operation,0.0,Neutral,1,1,0,0,0,0,0,0
681350495085137920,2015-12-28 05:46:31+00:00,@mwei_julius The construction begins early 2016 and expected to be complete in 2017,mwei_julius construction begin early expect complete,0.0,Neutral,0,1,0,0,0,0,1,1
679934281041444865,2015-12-24 07:58:59+00:00,@mwei_julius construction of the Konza Complex and Police Station will complete in 2017 to kick start the city operations.,mwei_julius construction konza complex police station complete kick start city operation,0.0,Neutral,1,1,0,0,0,0,0,0
679931519943766017,2015-12-24 07:48:01+00:00,@AsigeAlex The support will include linking the start ups and innovators to professionals in their fields for guidance and mentorship,asigealex support include link start ups innovator professional field guidance mentorship,0.4019,Positive,0,1,0,0,0,0,0,0
679930996888829952,2015-12-24 07:45:56+00:00,"@AsigeAlex once operational, KTC will provide space as well as support business incubation, start ups and research.",asigealex operational ktc provide space well support business incubation start ups research,0.5859,Positive,0,1,0,0,0,0,0,0
679923132191367168,2015-12-24 07:14:41+00:00,"Konza's IP network will allow for efficiencies at Konza,enhancing productivity and improving access to services https://t.co/EdIVh6TVJF",konza ip network allow efficiency konza enhance productivity improve access service,0.743,Positive,0,1,0,0,0,0,0,0
679637386238783488,2015-12-23 12:19:14+00:00,"@waithash @konzacity  will develop world-class infrastructure and technology to facilitate research,education and business",waithash konzacity develop infrastructure technology facilitate research education business,0.0,Neutral,0,1,0,0,0,0,0,0
679637100053016576,2015-12-23 12:18:06+00:00,"@waithash @Konzacity is to be a sustainable, world-class technology hub and a major economic driver for the nation",waithash konzacity sustainable technology hub major economic driver nation,0.0,Neutral,0,0,0,0,0,0,0,1
679635441109307392,2015-12-23 12:11:30+00:00,"@kenyanpundit The EOI's for the establishment of private schools in Konza City to close on December 28,2015 https://t.co/GTQTiRs4Z5",kenyanpundit eoi establishment private school konza city close december,0.0,Neutral,0,0,0,0,0,0,0,2
679625259742531584,2015-12-23 11:31:03+00:00,@itspeezy_ Ground breaking for the Konza city complex scheduled for early 2016,itspeezy_ ground breaking konza city complex schedule early,0.0,Neutral,0,0,0,0,0,0,1,1
679612531699281920,2015-12-23 10:40:28+00:00,@KinotiJimm Konza Techno city office complex ground breaking scheduled for early 2016,kinotijimm konza techno city office complex ground break schedule early,0.0,Neutral,0,0,0,0,0,0,1,1
679548510476365824,2015-12-23 06:26:04+00:00,"“The 19th C was of empires, the 20th C was of nation states.The 21st C will be of cities.”via Wellington. https://t.co/9rzUnEIGJp",c empire c nation states.the c cities. wellington,0.0,Neutral,0,0,0,0,0,0,0,1
679545745595318272,2015-12-23 06:15:05+00:00,@nginye @kenyanpundit consultations are ongoing to facilitate the expansion of the road to ensure smooth flow of traffic.,nginye kenyanpundit consultation ongoing facilitate expansion road ensure smooth flow traffic,0.3818,Positive,0,0,0,0,0,0,0,1
679178044318351360,2015-12-22 05:53:58+00:00,"@konzatechnocity city,will bring together a diverse population to offer solutions to our local problems. https://t.co/iZbgMQRcpI",konzatechnocity city bring together diverse population offer solution local problem,-0.1027,Negative,0,0,0,1,0,1,0,0
677751670634323969,2015-12-18 07:26:04+00:00,Economic gains from Vision 2030 https://t.co/kAFtDAzqxs,economic gain vision,0.6597,Positive,0,2,0,0,1,0,0,0
