id,datetime,tweets,edited,sentiment_intensity,sentiment,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
682700758899245056,2015-12-31 23:11:59+00:00,Vision City Church is excited to announce that Monday Nights Live is returning to the IMPROV at the Irvine... https://t.co/DzQIbwCDVF,vision city church excite announce monday night live return improv irvine,0.6249,Positive,0,2,0,0,1,0,0,1
682044166793080833,2015-12-30 03:42:55+00:00,#PNG Giant Chritmas tree goes up in flames in Port Moresby's Vision City. Looks iconic. https://t.co/z2dlmRkSvV,png giant chritmas tree go flame port moresby vision city look iconic,0.25,Positive,1,2,1,1,1,0,1,1
681582951151321088,2015-12-28 21:10:13+00:00,Thanks to @jennychoinews and @McCormick_Fdn for supporting our vision @city_bureau !! &lt;3 https://t.co/zj1yXmcfkd,thanks jennychoinews mccormick_fdn support vision city_bureau lt,0.765,Positive,0,1,0,0,0,0,0,0
681556446362877957,2015-12-28 19:24:54+00:00,"Raleigh enters 2016 with downtown vision  https://t.co/0JgrJ1mx7u City leaders enter 2016 with a wish list for downtown Raleigh, which is …",raleigh enters downtown vision city leader enter wish list downtown raleigh,0.5719,Positive,0,1,0,0,0,0,0,1
681554209343324160,2015-12-28 19:16:00+00:00,"Choosing Right Eye Glasses Frames | Newburgh, NY | Vision City https://t.co/iPtHFizROk",choose right eye glass frame newburgh ny vision city,0.25,Positive,0,1,0,0,0,0,0,0
681541671775961090,2015-12-28 18:26:11+00:00,"John 6:26-40 | FREE REFILLS | VISION City Church | Garid Beeler | Irvine, Ca: https://t.co/VQh5GxgabS via @YouTube",john free refill vision city church garid beeler irvine ca youtube,0.6486,Positive,0,2,1,0,1,0,0,1
681338793283219456,2015-12-28 05:00:01+00:00,Take action now for your future. Join us on one of our Marketing campaigns at Vision City – Port Moresby to... https://t.co/NvrjNWaFc5,take action future join marketing campaign vision city port moresby,0.4939,Positive,0,1,0,0,0,0,0,0
680871801224822784,2015-12-26 22:04:22+00:00,"""@briandark: Ozil cannot see the top of the table with all that vision.""city are coming",briandark ozil see top table vision city come,0.4215,Positive,0,2,0,0,0,0,0,1
680576824586309632,2015-12-26 02:32:14+00:00,#MerryChristmas and #HappyHolidays from everyone here @ Vision City Las Colinas!!! Even if you do not celebrate... https://t.co/4O5DexPN4T,merrychristmas happyholidays everyone vision city la colinas even celebrate,0.6908,Positive,0,1,0,0,0,0,0,0
680576793208819712,2015-12-26 02:32:06+00:00,#MerryChristmas and #HappyHolidays from everyone here @ Vision City Las Colinas!!! https://t.co/sRJbSypQeW,merrychristmas happyholidays everyone vision city la colinas,0.25,Positive,0,1,0,0,0,0,0,0
680278941576359936,2015-12-25 06:48:33+00:00,"I'm at Vision City (Video Games Park) in Genting Highlands, Pahang https://t.co/Oiw8Axe149",vision city video game park genting highland pahang,0.25,Positive,1,1,1,1,0,0,0,0
680065560856535040,2015-12-24 16:40:39+00:00,"Join us tonight at Vision City Church! 
https://t.co/AB1oIi2rCH https://t.co/bCxjuCkU70",join tonight vision city church,0.4939,Positive,0,2,0,0,1,0,0,1
680049132313022464,2015-12-24 15:35:22+00:00,Christmas Eve service tonight! 5:30pm - VISION City Church,christmas eve service tonight vision city church,0.25,Positive,0,2,0,0,1,0,0,1
680048860035563521,2015-12-24 15:34:17+00:00,We'd like to invite you to join Pastor Garid Beeler at VISION City Church tonight at 5:30pm for a special Christmas Eve service!,like invite join pastor garid beeler vision city church tonight special christmas eve service,0.8402,Positive,0,2,0,0,3,0,0,2
