id,datetime,tweets,edited,sentiment_intensity,sentiment,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
1344314550879924228,2020-12-30 16:08:59+00:00,"@MCFC_Vision City set the precedent (do you know what that word means) 

Big difference here though, I knew early this morning that their was a chance of it being postponed, didnt hear anything about our game until it had been decided without the inclusion of Everton in the discussions",mcfc_vision city set precedent know word mean big difference know early morning chance postpone didnt hear anything game decide inclusion everton discussion,0.0258,Neutral,0,1,0,0,0,0,0,1
1344203667369586689,2020-12-30 08:48:23+00:00,The view of City of Kigali from vision city inside a 4 bedroom apartment https://t.co/2qhOavbQlu,view city kigali vision city bedroom apartment,0.25,Positive,0,1,0,0,0,0,0,0
1344156705886674952,2020-12-30 05:41:46+00:00,Feeling like a Illimo milkshake from their little kids park outside Vision City. They are so good.,feel illimo milkshake little kid park vision city good,0.5627,Positive,0,2,0,0,1,0,1,1
1344012655888134146,2020-12-29 20:09:22+00:00,"@chrisjhocking22 @MCFC_Vision City didn’t call the game off... the PL did.  City just reported an outbreak of covid, as they’re obliged to. Neither did City say they’d spoken to Everton as some on here are suggesting.  They said the PL postponed the game after consultation with both clubs. https://t.co/RoXBChOEOY",chrisjhocking22 mcfc_vision city call game pl city report outbreak covid oblige city say speak everton suggest say pl postpone game consultation club,-0.2263,Negative,0,0,0,0,0,0,0,2
1344007410684469250,2020-12-29 19:48:31+00:00,"@keepitreal_82 @MCFC_Vision city got 5 positive tests the morning of the match and those 5 had been in contact with the rest of the squad so the rest could potentially have it,there wasnt enough time to test them all again before the game to be sure the rest were still negative so thatswhy it was called off",keepitreal_82 mcfc_vision city get positive test morning match contact rest squad rest potentially wasnt enough time test game sure rest still negative call,0.296,Positive,0,2,0,0,0,0,0,0
1343985533861523456,2020-12-29 18:21:35+00:00,"The blue sky #portmoresby ..

📷 Traffic Light 
Vision City Mega Mall
Lot 7, 8 &amp; 9, Section 429, 131 National Capital District, Waigani Dr, Port Moresby, Papua New Guinea
+675 302 8555
https://t.co/ZyDxomxY10

#streetphotography #explorePNG #bluesky #morningvibes https://t.co/mehaKykPsk",blue sky portmoresby traffic light vision city mega mall lot amp section national capital district waigani dr port moresby papua new guinea streetphotography explorepng bluesky morningvibes,0.25,Positive,0,1,0,0,0,1,0,1
1343950588195827713,2020-12-29 16:02:44+00:00,@MCFC_Vision City fans still crying about a statement ... 😂😂,mcfc_vision city fan still cry statement,-0.2023,Negative,0,0,0,0,0,0,0,1
1343949108604755968,2020-12-29 15:56:51+00:00,"@jmacca260 @JIMMYTHEBLUE89 @TarikPoljakovic @MCFC_Vision City inform the PL (not FA) of test results, since a 2nd -ve test was required they had no players available. They requested postponement &amp; Everton were informed The PL board met, acting on advice from medical experts postponed the game both clubs were informed of the decision",jmacca260 jimmytheblue89 tarikpoljakovic mcfc_vision city inform pl fa test result test require player available request postponement amp everton inform pl board meet act advice medical expert postpone game club inform decision,-0.2263,Negative,0,2,0,0,0,0,0,4
1343901458685702145,2020-12-29 12:47:30+00:00,"@MCFC_Vision City have been the most irrelevant club from Manchester since they was founded in 1880

Even with your millions you still can’t fill the stadium

6 league titles in your history and 4 of them in the last 8 years since the Arab has come in , do me a favour 🙈",mcfc_vision city irrelevant club manchester found even million still fill stadium league title history last year arab come favour,0.4404,Positive,0,0,0,0,1,0,0,2
1343890530112036864,2020-12-29 12:04:05+00:00,"@MCFC_Vision City players would use private hospitals so it wouldn't impact the NHS. What I don't understand, you can have covid results back in a hour. Why didn't all the players and staff have tests prior to the game. Still 20 odd players to choose from.",mcfc_vision city player use private hospital n't impact nh n't understand covid result back hour n't player staff test prior game still odd player choose,-0.6031,Negative,0,1,0,0,0,0,0,0
1343685455196336128,2020-12-28 22:29:11+00:00,@MCFC_Vision City showed zero class by breaching their security bubble,mcfc_vision city show class breach security bubble,0.34,Positive,0,0,0,0,0,0,0,1
