id,datetime,tweets,edited,sentiment_intensity,sentiment,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
20796180095045633,2010-12-31 10:59:30+00:00,"Elephants and Waterfalls - Kanchanaburi: We headed to Kanchanaburi - after being in cities for so long, we were ... http://bit.ly/gwxgvX",elephant waterfall kanchanaburi head kanchanaburi city long,0.0,Neutral,0,1,0,0,0,0,0,0
19883864499429376,2010-12-28 22:34:17+00:00,Heading to Niagara Falls tomorrow and then onto Toronto for New Years. Nothing better than casinos waterfalls and getting Wild in the city,head niagara fall tomorrow toronto new year nothing well casino waterfall get wild city,-0.2057,Negative,0,1,0,0,0,1,1,0
19799211897786369,2010-12-28 16:57:54+00:00,"Apparently, my hometown makes Auchterarder look like a city, according to @charliemcarthur...just went a nice adventure to find a waterfall",apparently hometown make auchterarder look city accord charliemcarthur go nice adventure find waterfall,0.6249,Positive,0,0,0,0,0,0,0,1
19527374534086656,2010-12-27 22:57:43+00:00,"RT @ChristopherAver:""Our worst day w/ agile is better than our best day w/ waterfall."" City utility client in sprint 11 of 1st agile project",rt christopheraver bad day agile well best day waterfall city utility client sprint agile project,0.4215,Positive,1,0,1,1,0,1,0,0
19525462397034498,2010-12-27 22:50:07+00:00,"RT @christopheraver: ""Our worst day w/ #agile better than our best day w/ waterfall."" City utility client in sprint 11 of 1st agile project",rt christopheraver bad day good best day waterfall city utility client sprint agile project,0.5574,Positive,1,1,1,1,1,1,1,1
19523349130514433,2010-12-27 22:41:43+00:00,"""Our worst day w/ #agile is better than our best day w/ waterfall."" City utility client in sprint 11 of 1st agile project.",bad day agile well best day waterfall city utility client sprint agile project,0.4215,Positive,1,0,1,1,0,1,0,0
19441326089052160,2010-12-27 17:15:47+00:00,@cheskohaze same to u my nigga my bad I aint have no service at the waterfalls so I'm just now coming back into the city and getting service,cheskohaze u nigga bad aint service waterfall come back city get service,-0.5423,Negative,1,0,1,1,0,1,0,0
19373725514207233,2010-12-27 12:47:10+00:00,Kanchanaburi - City of Gold + Waterfalls + Tiger Temple... Tempting! Damn it is hard to pick between India and Thailand! http://t.co/u7At2qL,kanchanaburi city gold waterfall tiger temple tempt damn hard pick india thailand,-0.4767,Negative,1,0,1,0,0,0,0,0
18813033987973120,2010-12-25 23:39:11+00:00,"Go to Malang city. . .
Beautiful waterfall. . .
It's Cuban Rondo. . .
Thankz god. . .
The day ,
happy day's . . .:-)",go malang city beautiful waterfall cuban rondo thankz god day happy day,0.8658,Positive,0,1,0,1,1,0,0,1
18577094195810304,2010-12-25 08:01:39+00:00,Landscaping ponds salt lake city // Waterproof mortar for ponds uk ...: backyard ponds waterfall. garden ponds p... http://bit.ly/gy3Elk,landscape pond salt lake city waterproof mortar pond uk backyard ponds waterfall garden pond p,0.0,Neutral,0,0,0,0,1,0,0,0
18158282594066433,2010-12-24 04:17:26+00:00,So who's up 4 a boxing day cross ride? City -&gt; RNP -&gt; Waterfall -&gt; Lady Game Drive... and back?,boxing day cross ride city gt rnp gt waterfall gt lady game drive back,0.6486,Positive,1,0,0,1,0,1,0,0
17995049392410624,2010-12-23 17:28:48+00:00,"I'm very happy that the City of Abbotsford named a nearby waterfall after Devon Clifford, late drummer of #YouSayParty.  http://j.mp/g33FlV",happy city abbotsford name nearby waterfall devon clifford late drummer yousayparty,0.5719,Positive,0,0,0,0,0,1,0,0
