id,datetime,username,tweets,edited,sentiment_intensity,sentiment,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
651329848305143809,2015-10-06 09:35:11+00:00,MEDEF_I,Visit of @EkoAtlantic City: 5M square Meters of opportunités for the development of a smart city @vivapolisfrance http://t.co/OUK2YgaAJH,visit ekoatlantic city square meter opportunités development smart city vivapolisfrance,0.4019,Positive,0,1,0,0,0,0,0,0
490268253122723840,2014-07-18 22:53:54+00:00,Bola_M_A,Dholera SIR - FUTURE SMART CITY and Eko Atlantic inspired by @DUBAI,dholera sir future smart city eko atlantic inspire dubai,0.7506,Positive,0,0,0,0,0,0,0,1
313946758575165440,2013-03-19 09:35:14+00:00,Africa_RB,"We take a look at #Nigeria's ambitious plans for high-tech ""smart city"" #EkoAtlantic http://t.co/PsgairqgXa #lagos",take look nigeria ambitious plan smart city ekoatlantic lagos,0.7003,Positive,0,1,0,0,0,0,0,0
680104887737176064,2015-12-24 19:16:55+00:00,Medalist_X0,"The almost free year-end concert was held at Eko Atlantic in Lagos, Nigeria with performances by other top sta... https://t.co/KsHchh76gR",almost free concert hold eko atlantic lagos nigeria performance top sta,0.5868,Positive,0,1,0,0,0,0,0,1
679787780638117888,2015-12-23 22:16:51+00:00,ike30044,"I liked a @YouTube video https://t.co/f66GOjC1d3 African Mega Projecs ep.1 | The African Shanghai, Eko Atlantic City in Nigeria",like youtube video african mega projecs ep.1 african shanghai eko atlantic city nigeria,0.3612,Positive,0,0,1,1,0,0,0,0
679408649995952128,2015-12-22 21:10:19+00:00,kamparia,Access Mavin Concert happening tomorrow at Eko Atlantic  https://t.co/pLhu6QNazo #nigeria https://t.co/KpGP6rtf4v,access mavin concert happen tomorrow eko atlantic nigeria,0.0,Neutral,0,2,0,0,0,0,0,0
677876925952491520,2015-12-18 15:43:48+00:00,ugo_ebili,Live at Eko Atlantic watching Nigeria vs Ivory game #CopaLagos2015.,live eko atlantic watch nigeria v ivory game copalagos2015,0.0,Neutral,0,1,0,1,0,0,0,0
677027073140092928,2015-12-16 07:26:47+00:00,iktissad,"Ronald CHAGOURY Jr, Vice Chairman, Eko Atlantic #Nigeria sepaking about his experience as an #emigrant at #LEEC2015 https://t.co/1yIzVmfbNX",ronald chagoury jr vice chairman eko atlantic nigeria sepaking experience emigrant leec2015,0.0,Neutral,0,0,0,0,0,0,0,1
674317630094884864,2015-12-08 20:00:25+00:00,EkoAtlantic,"Installation of underground storm water drainage pipes, Eko Atlantic, Lagos, Nigeria. https://t.co/qcNdnf5UEu",installation underground storm water drainage pipe eko atlantic lagos nigeria,0.0,Neutral,1,0,0,0,0,0,0,0
670313537160417281,2015-11-27 18:49:35+00:00,AfricaNewsPress,"With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/Ye5ebl5ugZ",n500 watch jazzy tiwa savage mavin perform eko atlantic paywithcapture nigeria leadi,-0.4588,Negative,0,1,0,1,0,0,0,0
666416019825696769,2015-11-17 00:42:15+00:00,Chriskata1,"Eko Atlantic , Lagos Nigeria. Wait for it . I love ... https://t.co/In7Zpr5iJU",eko atlantic lagos nigeria wait love,0.6369,Positive,0,1,0,0,1,0,0,0
662993632249683968,2015-11-07 14:02:54+00:00,VICTORAEVANS,"Spectacular SUN RISE @ Eko Atlantic City, Lagos-Nigeria. Isn't nature beautiful? https://t.co/6TQTlJs1uB",spectacular sun rise eko atlantic city n't nature beautiful,-0.4847,Negative,0,2,0,0,1,0,2,1
661789228532133889,2015-11-04 06:17:02+00:00,soundwisdomtalk,@CITY1051 # This is the issue in Nigeria. We don't have quick responses in our system. Yet we are building massive structure @ Eko Atlantic.,city1051 issue nigeria n't quick response system build massive structure eko atlantic,0.0,Neutral,0,0,0,0,0,0,0,1
652114815750684672,2015-10-08 13:34:22+00:00,EkoAtlantic,Eko Atlantic will provide prime development land to give the space for #business and commerce to expand in #Nigeria. http://t.co/9u7ff1YeDe,eko atlantic provide prime development land give space business commerce expand nigeria,0.3182,Positive,0,1,0,0,0,0,0,0
649674065460879360,2015-10-01 19:55:42+00:00,KennyObinnaUmeh,"My all time goal is to live in Eko Atlantic, Which is in Lagos Nigeria @EkoAtlantic",time goal live eko atlantic lagos nigeria ekoatlantic,0.0,Neutral,0,1,0,0,0,0,0,0
649585257465950208,2015-10-01 14:02:48+00:00,BRANDSCHOOLSA,"Eko Atlantic City, Lagos, Nigeria. The Dubai of Africa. We can't wait to see it when construction is complete.... http://t.co/TdavrebIhd",eko atlantic city lagos nigeria dubai africa n't wait see construction complete,0.0,Neutral,0,1,0,0,0,0,0,0
648499742855593984,2015-09-28 14:09:21+00:00,EkoAtlantic,Eko Atlantic is a creative &amp; ambitious development &amp; is rapidly becoming a source of great national pride in Nigeria. http://t.co/AoYerKgosI,eko atlantic creative amp ambitious development amp rapidly become source great national pride nigeria,0.91,Positive,0,1,0,0,1,0,1,1
646381212123070465,2015-09-22 17:51:04+00:00,Zenababs,Nigeria's plans for Eko Atlantic are not radical enough - http://t.co/vjbXMygrNQ http://t.co/TlcqdWSA2r,nigeria plan eko atlantic radical enough,0.0,Neutral,0,1,0,0,0,0,0,0
646328953783713792,2015-09-22 14:23:25+00:00,MrBasabose,Nigeria: Eko Atlantic - Experts Speak On Impact of Land Reclamation http://t.co/x6iU0rK0Zc #UrbanAfrica,nigeria eko atlantic expert speak impact land reclamation urbanafrica,0.0,Neutral,0,0,0,0,0,0,0,1
639885672539668482,2015-09-04 19:40:07+00:00,molacc,Nigeria's plans for Eko Atlantic are not radical enough - http://t.co/04CgJLyWhu http://t.co/oTmicVERxp via @YahooMail,nigeria plan eko atlantic radical enough yahoomail,0.0,Neutral,0,1,0,0,0,0,0,0
