id,datetime,username,tweets,edited,sentiment_intensity,sentiment,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
1304879268959322114,2020-09-12 20:27:15+00:00,p_meowusu,Nam1 smart city Mahama hope city 🤔,nam1 smart city mahama hope city,0.6808,Positive,0,1,0,0,1,0,1,1
1072439132801114119,2018-12-11 10:33:08+00:00,nitabhalla,"Other smart cities planned in Africa include Nigeria's Eko Atlantic City near Lagos that will house 250,000 people on land reclaimed from the sea, Ghana's Hope City and an Ethiopian city styled as the real Wakanda after the film ""Black Panther"" https://t.co/7kpD5MAqGH @kainvestor",smart city plan africa include nigeria eko atlantic city lagos house people land reclaim sea ghana hope city ethiopian city style real wakanda film black panther kainvestor,0.6808,Positive,0,2,0,0,1,1,1,2
999494351418937344,2018-05-24 03:36:37+00:00,FkoResearch,"There is a new trend in Africa to establish smart cities. In Nigeria we are developing Eko Atlantic City for more housing, Hope City in Ghana to integrate people and business, Konza Technopolis in Kenya to transform to knowledge based economy - @tanuijohn, CEO Konza #AfDBAM2018 https://t.co/CGaH2L3oaC",new trend africa establish smart city nigeria develop eko atlantic city housing hope city ghana integrate people business konza technopolis kenya transform knowledge base economy tanuijohn ceo konza afdbam2018,0.6808,Positive,0,2,0,0,1,0,1,3
1333941035165241345,2020-12-02 01:08:20+00:00,Porsitif,"Want to see the coat of arms Ghana that mks it official..? ...n he(Audit General)couldn’t see $10 billion hope City scandal in the history of Ghana,wen it was launched bt never exist.. https://t.co/mzZOqeI4cc",want see coat arm ghana mks official n audit general see hope city scandal history ghana wen launch bt never exist,0.0772,Positive,0,2,0,1,1,0,1,2
1330533815991869450,2020-11-22 15:29:16+00:00,AduNkansah,"@millan2k @fishermans_son1 @GHOneTV Me unemployed? 😂😂😂😂😂😂😂😂😂😂😂😂😂 even if I were even unemployed I still never vote for jdm who presided over, SADA, Smartys, HOPE city project, Guinea fowls that flowing to Burkina Faso and never returned with over 25 million cedis that belonged to the people of Ghana.",millan2k fishermans_son1 ghonetv unemployed even even unemployed still never vote jdm preside sada smartys hope city project guinea fowl flow burkina faso never return cedi belong people ghana,0.4404,Positive,1,2,0,0,2,1,2,2
1329897023374454784,2020-11-20 21:18:53+00:00,AlhajiTrinidad,"@JDMahama go carry Chris Brown come Ghana to endorse Hope City worth $10billion , where the hope City Dey?  You San dey come use another 10billion for big push . Chairman you never go come power again . 10billion !",jdmahama go carry chris brown come ghana endorse hope city hope city dey san dey come big push chairman never go come power,0.7964,Positive,0,2,0,0,2,0,2,3
1322897571438907394,2020-11-01 13:45:33+00:00,emmanuelkofiGl1,@Boakyewaa_N What is wrong with you. U have been corrected many times on this hope city thing but you keep on mentioning it in your monthly 700 Ghana Cedis social media work. Is there any evidence to show hope city is a govt project and not a private project?,boakyewaa_n wrong u correct many time hope city thing keep mention monthly ghana cedi social medium work evidence show hope city govt project private project,0.4019,Positive,0,3,0,0,2,0,2,3
1321374598135451648,2020-10-28 08:53:48+00:00,OmanBaPa__,"Ghana's John Mahama launches Hope City project - BBC News https://t.co/oGMMURuhP2

This is the man you guys are rooting for?  Where’s the Hope City?? There’s no hope in him! Vote #4MoreForNana #4MoreForMoreJobs",ghana john mahama launch hope city project bbc news man guy root hope city hope vote,0.8271,Positive,1,5,1,0,4,1,4,4
1321336135466045441,2020-10-28 06:20:58+00:00,Magic4AMG,"⁦⁩ ⁦@JDMahama⁩ where can the “HOPE CITY” be found in Ghana, please?
Or you’ll take me there when you come to power for the second time? https://t.co/oSLGEbBubp",jdmahama⁩ hope city find ghana please take come power second time,0.6369,Positive,0,2,0,0,1,0,1,1
1314850421463228417,2020-10-10 08:49:03+00:00,MrBenAndoh,Today is the day! The heavens are open! Ghana come expectant because God is moving! 4pm we go!! And those who are out of the country we will be live-streaming for you!! 4pm gmt 5pm bst @ Hope City Accra https://t.co/iWhTGAiw6I,today day heaven open ghana come expectant god move go country gmt bst hope city accra,0.8074,Positive,0,3,0,1,2,0,2,3
1310114644330262534,2020-09-27 07:10:46+00:00,Boakyewaa_N,"”I'm not like those who cut sod without funding” - Promise Keeper President Akufo-Addo. 

   John Mahama &amp; Sammy Gyamfi the good people of Ghana are still looking for  Hope City, phase 2 HO airport, Eastern Corridor road e.t.c 
#4More4Nana 
#4MoreToDoMoreForYou https://t.co/qXRVHhC8bR",cut sod fund promise keeper president john mahama amp sammy gyamfi good people ghana still look hope city phase ho airport eastern corridor road e.t.c,0.7184,Positive,0,3,1,0,2,0,2,2
1309188031484776450,2020-09-24 17:48:44+00:00,gfkkb,"""Eko Atlantic in Lagos, like Tatu City in Nairobi, Kenya; Hope City in Accra, Ghana; and Cité le Fleuve in Kinshasa, DRC, point to the rise of private cities. What does it mean for the rest of us?"" via @africasacountry 

https://t.co/SlRctSAyub",eko atlantic lagos tatu city nairobi kenya hope city accra ghana cité le fleuve kinshasa drc point rise private city mean rest africasacountry,0.4404,Positive,0,1,0,0,1,0,1,1
