id,datetime,username,tweets,edited,sentiment_intensity,sentiment,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
1304879268959322114,2020-09-12 20:27:15+00:00,p_meowusu,Nam1 smart city Mahama hope city 🤔,nam1 smart city mahama hope city,0.6808,Positive,0,1,0,0,1,0,1,1
1111584140992876544,2019-03-29 11:01:26+00:00,GatePass,"Top 5 Smart City initiatives in Africa and their estimated cost (in billion U.S. dollars)

Konza Techno City, Kenya - 15.5
Eko Atlantic, Nigeria - 6
Hope City, Ghana - 10
Vision City, Rwanda - 1.9
Waterfall City, South Africa - 1.2

Via @EstateCloudKe

https://t.co/vwpPx3sLSN",top smart city initiative africa estimate cost u.s. dollar konza techno city kenya eko atlantic nigeria hope city ghana vision city rwanda waterfall city south africa via estatecloudke,0.8126,Positive,0,3,0,0,1,0,1,2
947325172230504449,2017-12-31 04:34:56+00:00,hirenshah89,Out of 196 cr alloted to surat only 43.41 cr has been spend under Smart City project @CommissionerSMC sir we hope city will gets new projects and major developmental changes soon as per vision of our Hon'ble PM SHRI @narendramodi  ji.,cr allot surat cr spend smart city project commissionersmc sir hope city get new project major developmental change soon vision hon'ble pm shri narendramodi ji,0.765,Positive,0,2,0,0,1,0,1,2
883555536133738496,2017-07-08 05:17:10+00:00,SUNNY_0789,@MC_Nizamabad Good news for Nizamabad City. Finally some returns are coming from TRS Govt. Thanks a lot dr KCR.Hope City head towards Smart City as well.,mc_nizamabad good news nizamabad city finally return come trs govt thank lot kcr.hope city head towards smart city well,0.8481,Positive,0,1,0,0,1,0,1,1
807676740764106754,2016-12-10 20:01:55+00:00,kashmiriRefuge,People employed by Jammu Municipal Corporation for Smart City Entry work! :-) Hope city gets its due https://t.co/OXtCmI6T6b,people employ jammu municipal corporation smart city entry work hope city get due,0.6808,Positive,0,1,0,0,1,0,1,2
727443665669492737,2016-05-03 10:24:19+00:00,dineshkumawat,Smart City#Mission Jaipur#Today New  CEO V. Sharvan Kumar Take charge in Jaipur smart Office #Hope City will soon # Take place as Smart City,smart city mission jaipur today new ceo v. sharvan kumar take charge jaipur smart office hope city soon take place smart city,0.875,Positive,0,1,0,0,1,0,1,1
689498184872136705,2016-01-19 17:22:32+00:00,rks196,"@narendramodi @AnupamPkher To tribute to Kashmiri Pandit,lost life,HonPM is rqsted to sanction a Smart city inJ&amp;K for them.HopeCity byJan19.",narendramodi anupampkher tribute kashmiri pandit lose life honpm rqsted sanction smart city inj amp k them.hopecity byjan19,0.0,Neutral,1,0,1,1,0,1,1,0
1072439132801114119,2018-12-11 10:33:08+00:00,nitabhalla,"Other smart cities planned in Africa include Nigeria's Eko Atlantic City near Lagos that will house 250,000 people on land reclaimed from the sea, Ghana's Hope City and an Ethiopian city styled as the real Wakanda after the film ""Black Panther"" https://t.co/7kpD5MAqGH @kainvestor",smart city plan africa include nigeria eko atlantic city lagos house people land reclaim sea ghana hope city ethiopian city style real wakanda film black panther kainvestor,0.6808,Positive,0,2,0,0,1,1,1,2
999494351418937344,2018-05-24 03:36:37+00:00,FkoResearch,"There is a new trend in Africa to establish smart cities. In Nigeria we are developing Eko Atlantic City for more housing, Hope City in Ghana to integrate people and business, Konza Technopolis in Kenya to transform to knowledge based economy - @tanuijohn, CEO Konza #AfDBAM2018 https://t.co/CGaH2L3oaC",new trend africa establish smart city nigeria develop eko atlantic city housing hope city ghana integrate people business konza technopolis kenya transform knowledge base economy tanuijohn ceo konza afdbam2018,0.6808,Positive,0,2,0,0,1,0,1,3
1333941035165241345,2020-12-02 01:08:20+00:00,Porsitif,"Want to see the coat of arms Ghana that mks it official..? ...n he(Audit General)couldn’t see $10 billion hope City scandal in the history of Ghana,wen it was launched bt never exist.. https://t.co/mzZOqeI4cc",want see coat arm ghana mks official n audit general see hope city scandal history ghana wen launch bt never exist,0.0772,Positive,0,2,0,1,1,0,1,2
